Weight(x2),Height(y2),Class,,,,,,,Distance,Rank,Class,3classes
51,167,Underweight,,,,,,,14.73397435,18,Underweight,3x3 matrix
66,177,Normal,,,,,,,9.004998612,8,Normal,
75,169,Overweight,,,,,,,9.353608929,9,Overweight,
69,176,Normal,,,,,,,8.653900855,7,Normal,
50,173,Underweight,,,,,,,16.4769536,24,Underweight,
82,170,Overweight,,,,,,,16.42224102,23,Overweight,
65,172,Normal,,,,,,,4.060788101,3,Normal,
58,180,Underweight,,,height,168,, ,14.25798022,17,Underweight,
68,162,Overweight,,,weight,65.7,,,6.425729531,4,Overweight,
63,165,Normal,,,class,?,,,4.036087214,2,Normal,
52,174,Underweight,,,k,5,,,14.95626959,19,Underweight,
58,169,Normal,,,,,,,7.764663547,5,Normal,
78,162,Overweight,,,scatterplot for all 25 points,,,,13.68539367,16,Overweight,
65,168,Normal,,,,,,,0.7,1,Normal,
62,183,Underweight,,,,,,,15.44959546,20,Underweight,
72,180,Normal,,,,,,,13.5532284,14,Normal,
80,180,Overweight,,,,,,,18.66788686,25,Overweight,
60,178,Underweight,,,,,,,11.51043005,12,Underweight,
57,173,Normal,,,,,,,10.03444069,11,Normal,
73,164,Overweight,,,,,,,8.324061509,6,Overweight,
53,170,Underweight,,,,,,,12.85651586,13,Underweight,
74,182,Normal,,,,,,,16.27544162,22,Normal,
72,175,Overweight,,,,,,,9.417536833,10,Overweight,
53,163,Normal,,,,,,,13.64880947,15,Normal,
55,180,Underweight,,,,,,,16.0776242,21,Underweight,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2x2 matrix,,,,,,,,,,,